q1,q2,q3,q4,q5,mis1,mis2,mis3,mis4,mis5,sample
8.205,8.971,7.299,9.896,9.985,0.406,0.143,0.314,0.060,0.114,mod
7.861,8.941,8.992,9.201,7.582,0.182,0.273,0.469,0.383,0.076,mod
9.593,8.313,9.689,11.585,6.800,0.284,0.284,0.039,0.075,0.087,mod
9.017,10.735,8.724,9.362,7.643,0.180,0.006,0.088,0.029,0.061,mod
7.412,6.835,6.981,8.257,5.848,0.057,0.114,0.072,0.069,0.314,mod
9.739,9.656,10.971,10.090,9.925,0.041,0.120,0.026,0.244,0.556,mod
9.443,7.862,7.151,6.685,6.572,0.063,0.231,0.148,0.464,0.158,mod
8.715,8.467,12.290,8.756,8.771,0.011,0.383,0.020,0.270,0.238,mod
10.442,11.702,8.646,7.177,5.000,0.202,0.042,0.110,0.443,0.065,mod
7.389,7.835,7.377,7.869,7.359,0.137,0.057,0.094,0.125,0.435,mod
8.266,6.497,5.022,6.246,6.271,0.070,0.024,0.173,0.207,0.186,mod
11.296,12.998,15.854,9.903,8.790,0.051,0.044,0.035,0.328,0.210,mod
7.496,6.091,7.756,8.022,7.342,0.181,0.258,0.129,0.194,0.045,mod
8.384,6.905,7.830,7.153,9.772,0.012,0.058,0.013,0.078,0.035,mod
8.746,6.828,7.982,9.696,11.455,0.074,0.286,0.082,0.093,0.099,mod
7.327,5.958,8.543,9.854,4.768,0.210,0.058,0.014,0.016,0.206,mod
12.342,7.501,10.604,12.211,6.273,0.038,0.169,0.127,0.042,0.079,mod
9.819,10.320,8.522,8.384,6.905,0.033,0.028,0.073,0.012,0.058,mod
16.319,19.087,14.646,12.313,12.178,0.012,0.018,0.051,0.008,0.023,mod
9.073,14.754,13.338,8.009,10.486,0.016,0.006,0.011,0.077,0.015,mod
10.297,9.919,8.571,9.376,7.925,0.013,0.087,0.092,0.119,0.123,mod
11.434,12.772,12.028,13.525,12.039,0.097,0.086,0.196,0.120,0.030,mod
7.828,7.186,6.578,6.862,6.135,0.398,0.422,0.403,0.105,0.095,mod
8.931,12.928,11.521,6.598,5.115,0.070,0.110,0.127,0.032,0.102,mod
8.013,8.592,9.881,12.887,8.077,0.050,0.047,0.025,0.043,0.352,mod
5.098,8.716,7.877,5.026,9.103,0.292,0.085,0.327,0.314,0.070,mod
9.530,11.149,12.471,21.143,18.266,0.134,0.017,0.052,0.018,0.015,mod
6.383,7.063,7.875,6.250,9.382,0.364,0.308,0.038,0.171,0.020,mod
6.892,6.421,5.531,5.429,6.583,0.251,0.042,0.393,0.203,0.110,mod
4.533,4.459,5.299,4.390,7.286,0.051,0.147,0.114,0.147,0.128,mod
6.839,7.018,11.621,14.743,10.430,0.171,0.365,0.096,0.036,0.331,mod
6.717,8.284,7.918,8.851,11.448,0.084,0.025,0.021,0.210,0.023,mod
8.814,11.735,7.113,6.787,8.999,0.008,0.004,0.008,0.090,0.049,mod
6.570,7.740,6.224,9.961,13.866,0.082,0.127,0.061,0.166,0.016,mod
7.272,9.522,7.847,6.171,5.271,0.093,0.141,0.217,0.234,0.130,mod
6.258,8.111,9.004,7.272,9.522,0.058,0.033,0.078,0.093,0.141,mod
5.210,7.989,7.295,10.875,9.931,0.134,0.083,0.429,0.111,0.020,mod
7.263,7.094,6.134,7.767,7.430,0.256,0.096,0.103,0.049,0.091,mod
7.535,8.097,8.809,8.202,6.266,0.308,0.352,0.190,0.269,0.112,mod
10.266,10.196,8.694,9.596,11.809,0.049,0.060,0.065,0.028,0.093,mod
11.995,12.975,16.578,13.170,10.949,0.064,0.074,0.053,0.108,0.124,mod
5.751,6.306,5.212,5.123,6.474,0.175,0.132,0.203,0.297,0.260,mod
10.320,8.522,8.384,6.905,7.830,0.028,0.073,0.012,0.058,0.013,mod
8.718,8.171,9.632,8.666,9.438,0.047,0.432,0.019,0.450,0.013,mod
5.842,5.227,5.559,5.809,5.502,0.223,0.079,0.110,0.243,0.145,mod
9.849,7.493,7.879,14.355,13.702,0.011,0.421,0.070,0.053,0.033,mod
8.495,9.173,11.010,9.881,8.888,0.082,0.020,0.036,0.465,0.186,mod
12.632,7.857,7.752,7.723,7.658,0.011,0.008,0.093,0.058,0.038,mod
6.089,8.629,8.550,7.661,8.258,0.073,0.055,0.064,0.364,0.087,mod
7.513,9.228,12.905,12.333,7.571,0.349,0.282,0.072,0.094,0.116,mod
12.562,7.752,8.982,10.753,11.395,0.035,0.130,0.406,0.021,0.054,mod
7.195,10.072,10.904,11.189,8.428,0.199,0.544,0.195,0.029,0.552,mod
9.742,10.910,18.675,14.192,9.073,0.033,0.079,0.020,0.022,0.016,mod
7.936,7.854,7.951,8.839,8.290,0.188,0.074,0.006,0.016,0.026,mod
6.513,7.187,6.483,4.994,6.055,0.050,0.024,0.024,0.176,0.035,mod
10.669,9.434,9.777,15.086,12.285,0.031,0.024,0.169,0.004,0.083,mod
6.991,7.264,8.684,6.382,7.106,0.078,0.038,0.062,0.097,0.071,mod
9.418,11.714,11.997,9.920,10.193,0.134,0.023,0.025,0.240,0.038,mod
7.373,8.650,5.223,5.773,6.205,0.033,0.042,0.183,0.260,0.113,mod
7.241,7.076,6.031,7.811,8.162,0.267,0.205,0.363,0.108,0.110,mod
10.112,10.567,9.513,7.429,7.043,0.041,0.037,0.063,0.422,0.179,mod
10.268,8.358,9.149,7.803,7.249,0.055,0.143,0.147,0.177,0.154,mod
7.485,8.867,12.461,8.906,8.291,0.035,0.081,0.005,0.012,0.007,mod
11.344,12.521,15.437,10.534,9.118,0.294,0.625,0.649,0.023,0.020,mod
10.579,9.017,10.735,8.724,9.362,0.018,0.180,0.006,0.088,0.029,mod
4.794,5.799,6.527,6.727,5.935,0.135,0.033,0.203,0.284,0.577,mod
10.462,9.414,5.767,7.890,8.104,0.133,0.161,0.129,0.331,0.403,mod
11.644,7.106,6.918,6.784,6.808,0.129,0.090,0.102,0.053,0.348,mod
9.259,10.601,9.227,4.794,5.799,0.238,0.045,0.116,0.135,0.033,mod
11.222,9.810,10.614,20.140,17.223,0.022,0.010,0.100,0.009,0.007,mod
7.564,7.484,6.554,6.029,7.255,0.121,0.388,0.220,0.052,0.185,mod
4.436,4.706,5.889,6.803,7.396,0.059,0.030,0.208,0.031,0.050,mod
16.947,25.207,22.943,12.710,8.520,0.075,0.007,0.013,0.123,0.183,mod
7.007,12.602,18.567,13.587,12.154,0.317,0.014,0.005,0.142,0.100,mod
6.746,8.256,7.961,7.240,7.004,0.098,0.087,0.060,0.199,0.313,mod
7.081,8.305,7.359,9.797,13.010,0.249,0.130,0.194,0.018,0.021,mod
8.587,7.445,6.913,5.792,6.579,0.048,0.265,0.189,0.077,0.035,mod
7.609,10.262,11.144,11.643,12.326,0.100,0.013,0.030,0.645,0.115,mod
7.819,6.438,7.195,10.072,10.904,0.051,0.063,0.199,0.544,0.195,mod
7.307,8.115,10.517,12.156,8.514,0.190,0.020,0.043,0.098,0.072,mod
6.238,6.171,8.424,9.810,5.733,0.261,0.169,0.063,0.080,0.094,mod
9.982,10.729,10.165,10.632,7.844,0.028,0.045,0.068,0.064,0.174,mod
9.612,9.860,8.737,6.345,7.327,0.008,0.087,0.047,0.287,0.210,mod
6.540,6.683,9.485,10.887,7.634,0.137,0.091,0.150,0.032,0.066,mod
12.005,16.490,15.635,17.753,16.007,0.023,0.016,0.074,0.022,0.009,mod
6.294,6.424,7.572,8.448,13.999,0.122,0.113,0.033,0.232,0.108,mod
6.775,7.479,9.369,12.608,10.795,0.229,0.495,0.224,0.086,0.055,mod
5.971,6.218,5.662,7.580,6.103,0.126,0.021,0.023,0.006,0.031,mod
5.830,9.183,6.890,5.519,8.122,0.559,0.013,0.129,0.093,0.038,mod
10.999,7.693,8.720,13.058,11.960,0.212,0.446,0.310,0.050,0.095,mod
7.844,7.297,7.674,11.405,8.222,0.043,0.224,0.462,0.035,0.130,mod
12.982,12.274,9.464,11.784,10.753,0.062,0.023,0.198,0.040,0.024,mod
8.678,6.233,7.558,6.834,10.135,0.019,0.198,0.009,0.050,0.081,mod
14.126,13.782,11.247,20.010,15.175,0.128,0.041,0.056,0.014,0.015,mod
7.653,9.612,9.424,12.860,19.205,0.120,0.148,0.311,0.069,0.044,mod
12.346,12.255,5.965,7.860,6.505,0.046,0.047,0.127,0.094,0.367,mod
8.427,8.922,7.241,7.076,6.031,0.131,0.168,0.267,0.205,0.363,mod
14.629,8.149,9.079,11.096,13.593,0.000,0.052,0.017,0.017,0.009,mod
6.973,6.871,6.521,6.800,10.252,0.378,0.391,0.400,0.278,0.070,mod
7.851,11.654,13.660,14.380,14.196,0.003,0.001,0.007,0.002,0.025,mod
8.867,12.461,8.906,8.291,10.790,0.081,0.005,0.012,0.007,0.002,mod
6.823,6.214,8.272,8.988,9.928,0.104,0.196,0.148,0.093,0.043,mod
9.003,11.481,12.024,13.793,13.034,0.154,0.057,0.059,0.086,0.018,mod
9.038,10.627,11.593,7.086,10.476,0.315,0.147,0.388,0.203,0.131,mod
7.448,8.113,6.907,7.641,6.701,0.010,0.022,0.065,0.086,0.007,mod
15.782,17.939,13.448,6.290,7.155,0.021,0.030,0.190,0.383,0.247,mod
8.115,8.100,9.314,12.684,16.154,0.307,0.163,0.332,0.100,0.046,mod
8.737,6.345,7.327,5.958,8.543,0.047,0.287,0.210,0.058,0.014,mod
8.287,7.440,12.084,12.721,8.518,0.398,0.248,0.025,0.014,0.100,mod
10.220,16.319,19.087,14.646,12.313,0.116,0.012,0.018,0.051,0.008,mod
6.870,9.281,11.736,17.994,14.514,0.234,0.193,0.082,0.030,0.068,mod
5.632,7.491,8.577,6.435,8.564,0.421,0.057,0.369,0.113,0.023,mod
6.944,7.162,7.298,7.108,6.866,0.166,0.112,0.419,0.051,0.150,mod
9.653,10.967,9.062,10.638,7.036,0.035,0.019,0.132,0.015,0.258,mod
7.289,8.719,12.720,15.560,12.671,0.372,0.256,0.143,0.094,0.028,mod
10.894,7.432,6.772,5.455,5.164,0.086,0.111,0.067,0.091,0.118,mod
4.776,8.210,9.656,7.434,11.194,0.156,0.044,0.051,0.116,0.044,mod
7.202,7.149,8.336,4.702,7.455,0.255,0.278,0.021,0.431,0.008,mod
7.383,8.717,12.109,8.127,7.774,0.252,0.425,0.054,0.241,0.225,mod
5.428,5.615,8.348,8.669,8.749,0.169,0.092,0.152,0.124,0.199,mod
5.256,6.256,9.385,12.102,6.642,0.115,0.017,0.039,0.004,0.023,mod
6.826,6.986,5.935,8.275,12.115,0.547,0.633,0.084,0.011,0.018,mod
22.101,20.911,15.103,8.096,10.059,0.003,0.004,0.017,0.033,0.097,mod
6.983,5.957,7.605,10.773,11.450,0.382,0.129,0.472,0.097,0.126,mod
6.583,8.481,8.816,14.217,10.075,0.118,0.006,0.079,0.026,0.009,mod
6.220,6.658,8.711,7.048,10.845,0.041,0.058,0.014,0.222,0.050,mod
5.832,6.289,7.189,9.317,12.033,0.066,0.047,0.038,0.054,0.071,mod
7.089,10.093,9.860,8.341,7.754,0.189,0.174,0.066,0.025,0.295,mod
10.320,7.426,9.238,14.357,13.292,0.654,0.123,0.124,0.007,0.026,mod
5.730,5.452,5.842,5.227,5.559,0.176,0.227,0.223,0.079,0.110,mod
8.448,13.999,18.890,15.854,9.789,0.232,0.108,0.013,0.131,0.426,mod
8.323,10.488,11.577,7.967,9.515,0.103,0.094,0.088,0.280,0.034,mod
7.561,8.139,8.221,8.564,10.585,0.053,0.040,0.045,0.029,0.028,mod
9.702,9.479,8.926,9.481,11.347,0.127,0.160,0.019,0.025,0.022,mod
9.513,7.429,7.043,9.049,7.804,0.063,0.422,0.179,0.009,0.138,mod
6.870,8.686,9.681,6.804,5.062,0.028,0.078,0.080,0.113,0.156,mod
9.858,7.868,8.044,5.766,6.503,0.018,0.063,0.042,0.115,0.522,mod
6.169,4.276,5.355,5.942,6.035,0.107,0.056,0.130,0.170,0.104,mod
5.486,6.412,8.314,7.485,8.252,0.182,0.091,0.036,0.052,0.264,mod
9.644,12.727,14.896,12.746,14.273,0.081,0.048,0.010,0.122,0.037,mod
6.587,5.788,6.247,6.734,6.366,0.149,0.373,0.361,0.348,0.317,mod
7.844,9.652,8.008,8.487,6.169,0.246,0.059,0.200,0.161,0.105,mod
6.857,5.457,7.141,6.138,8.488,0.027,0.185,0.215,0.133,0.065,mod
8.038,10.428,11.856,16.841,20.287,0.047,0.064,0.052,0.026,0.023,mod
6.239,7.686,7.762,8.723,10.347,0.041,0.206,0.431,0.161,0.326,mod
11.460,7.230,6.710,7.351,9.026,0.043,0.164,0.141,0.273,0.259,mod
6.749,7.771,6.353,5.984,5.603,0.262,0.047,0.362,0.238,0.189,mod
9.300,7.985,6.642,6.003,6.135,0.084,0.136,0.058,0.064,0.319,mod
8.314,8.476,7.343,6.263,6.867,0.129,0.105,0.191,0.247,0.298,mod
11.944,9.241,11.406,12.956,11.299,0.018,0.511,0.032,0.035,0.170,mod
10.320,6.611,9.404,8.638,5.727,0.121,0.165,0.082,0.146,0.218,mod
6.902,7.804,6.774,6.850,6.286,0.096,0.093,0.277,0.047,0.112,mod
6.697,7.579,5.577,6.057,6.193,0.052,0.046,0.134,0.191,0.042,mod
10.049,8.747,8.748,11.301,10.093,0.052,0.082,0.134,0.106,0.065,mod
7.324,7.235,10.883,11.812,9.580,0.108,0.178,0.065,0.048,0.200,mod
8.559,10.583,11.231,6.843,12.699,0.123,0.107,0.087,0.108,0.075,mod
6.951,6.731,6.829,10.615,9.582,0.007,0.038,0.311,0.021,0.028,mod
6.886,7.079,8.795,12.944,9.741,0.117,0.031,0.511,0.002,0.023,mod
10.584,12.226,11.552,11.631,8.976,0.004,0.003,0.012,0.035,0.449,mod
6.942,6.680,5.731,5.291,8.011,0.090,0.147,0.166,0.068,0.058,mod
10.165,4.434,9.035,5.311,7.462,0.063,0.065,0.076,0.084,0.075,mod
10.079,8.667,10.792,9.724,19.331,0.068,0.107,0.017,0.173,0.007,mod
8.472,8.067,7.226,8.567,9.915,0.004,0.246,0.106,0.059,0.036,mod
10.741,10.671,6.521,6.829,7.910,0.032,0.014,0.174,0.568,0.305,mod
19.431,16.284,10.043,10.649,11.336,0.012,0.016,0.012,0.007,0.168,mod
5.616,7.228,6.032,7.384,8.765,0.217,0.132,0.030,0.040,0.014,mod
5.835,5.843,5.824,6.592,7.097,0.445,0.451,0.291,0.131,0.103,mod
10.067,7.384,7.062,10.161,12.522,0.046,0.041,0.143,0.051,0.092,mod
7.962,7.074,8.117,8.339,7.384,0.010,0.033,0.011,0.004,0.050,mod
11.179,11.281,16.192,17.260,17.311,0.012,0.085,0.009,0.017,0.013,mod
7.174,9.300,7.985,6.642,6.003,0.092,0.084,0.136,0.058,0.064,mod
11.048,10.138,9.049,7.433,10.583,0.143,0.162,0.072,0.223,0.022,mod
11.348,10.512,7.416,6.317,8.336,0.130,0.021,0.044,0.186,0.073,mod
6.353,6.538,6.352,7.558,6.101,0.082,0.030,0.083,0.005,0.168,mod
8.133,10.089,10.954,6.972,6.539,0.360,0.020,0.014,0.168,0.326,mod
4.812,7.147,6.509,6.564,10.742,0.101,0.075,0.038,0.087,0.022,mod
10.304,9.264,10.432,11.264,10.684,0.049,0.286,0.050,0.016,0.048,mod
5.095,6.726,5.811,12.036,19.524,0.177,0.075,0.151,0.006,0.003,mod
11.355,8.931,7.131,9.854,14.891,0.368,0.216,0.056,0.019,0.008,mod
6.485,8.643,10.445,9.489,9.112,0.066,0.085,0.036,0.048,0.077,mod
9.885,9.730,7.106,6.934,6.390,0.042,0.026,0.043,0.099,0.093,mod
8.790,7.913,10.063,8.693,9.840,0.037,0.014,0.020,0.083,0.055,mod
11.096,13.593,12.852,8.081,8.269,0.017,0.009,0.009,0.157,0.514,mod
5.682,5.858,5.719,7.785,13.533,0.162,0.321,0.190,0.131,0.083,mod
8.257,8.307,6.694,8.162,7.755,0.076,0.229,0.035,0.038,0.081,mod
5.683,5.573,6.662,5.594,10.355,0.136,0.149,0.038,0.254,0.083,mod
12.790,8.477,9.741,12.586,9.592,0.013,0.180,0.112,0.093,0.222,mod
7.784,8.432,8.302,11.216,12.236,0.124,0.104,0.102,0.048,0.045,mod
8.737,8.998,9.184,10.621,9.022,0.128,0.117,0.281,0.061,0.159,mod
6.320,8.196,9.327,8.183,7.668,0.305,0.068,0.113,0.079,0.118,mod
7.059,8.711,9.632,13.788,11.611,0.036,0.011,0.094,0.022,0.049,mod
9.765,8.507,7.473,9.796,8.508,0.030,0.288,0.197,0.047,0.062,mod
9.455,8.184,10.117,9.064,9.185,0.077,0.259,0.030,0.037,0.100,mod
7.831,7.577,6.481,7.259,8.048,0.194,0.260,0.183,0.017,0.255,mod
5.625,6.040,7.273,5.672,9.063,0.578,0.351,0.021,0.023,0.009,mod
7.211,5.472,5.426,5.264,7.911,0.207,0.239,0.241,0.122,0.566,mod
8.970,7.081,8.935,10.783,13.487,0.017,0.294,0.042,0.098,0.087,mod
8.341,9.559,6.641,8.413,9.014,0.062,0.015,0.175,0.440,0.164,mod
8.790,8.494,6.878,6.516,7.555,0.016,0.041,0.086,0.427,0.050,mod
9.096,9.767,8.799,5.929,9.836,0.158,0.039,0.147,0.294,0.081,mod
8.734,9.652,9.124,13.300,14.294,0.342,0.045,0.205,0.099,0.096,mod
8.085,10.210,11.755,6.958,8.610,0.042,0.148,0.016,0.081,0.375,mod
8.104,10.909,11.289,6.881,8.763,0.173,0.073,0.050,0.018,0.008,mod
6.114,6.847,6.948,6.369,5.751,0.098,0.115,0.294,0.117,0.308,mod
11.551,10.582,9.573,6.363,6.097,0.120,0.199,0.109,0.331,0.175,mod
7.235,9.060,10.282,9.932,10.465,0.120,0.192,0.072,0.169,0.081,mod
8.314,7.485,8.252,7.564,7.484,0.036,0.052,0.264,0.121,0.388,mod
5.666,5.562,8.991,10.623,7.177,0.552,0.069,0.007,0.045,0.586,mod
7.928,8.848,7.348,5.558,4.484,0.176,0.027,0.064,0.117,0.188,mod
10.579,10.491,6.632,8.406,10.321,0.174,0.022,0.023,0.377,0.018,mod
9.165,10.252,9.809,7.819,6.438,0.226,0.356,0.052,0.051,0.063,mod
12.059,9.127,4.649,7.150,5.991,0.103,0.074,0.347,0.097,0.169,mod
9.137,11.228,7.892,7.395,7.787,0.156,0.021,0.064,0.036,0.076,mod
7.850,6.729,7.332,8.968,10.999,0.081,0.175,0.042,0.077,0.014,mod
10.701,11.057,10.346,9.246,10.161,0.041,0.022,0.079,0.096,0.097,mod
12.687,11.145,8.753,10.086,7.787,0.099,0.037,0.073,0.198,0.184,mod
8.011,6.060,7.300,7.156,11.263,0.014,0.024,0.495,0.002,0.000,mod
6.606,6.290,9.185,9.711,16.251,0.120,0.110,0.076,0.107,0.031,mod
7.591,8.137,6.422,6.980,6.848,0.136,0.038,0.147,0.237,0.080,mod
8.113,5.655,6.229,9.003,12.604,0.023,0.070,0.053,0.068,0.054,mod
6.947,6.962,6.107,4.251,5.343,0.057,0.043,0.085,0.133,0.017,mod
6.326,7.666,7.309,5.119,6.278,0.239,0.106,0.213,0.280,0.340,mod
10.813,10.892,13.480,10.080,8.450,0.159,0.136,0.028,0.166,0.120,mod
7.577,8.715,8.467,12.290,8.756,0.174,0.011,0.383,0.020,0.270,mod
14.902,7.770,5.813,7.186,7.403,0.087,0.035,0.362,0.054,0.172,mod
7.286,8.319,6.077,6.037,7.370,0.128,0.057,0.076,0.396,0.163,mod
11.365,8.466,9.516,7.899,8.229,0.046,0.194,0.086,0.203,0.515,mod
5.048,4.575,5.584,8.772,8.570,0.115,0.107,0.085,0.012,0.065,mod
7.648,14.207,12.847,7.911,10.692,0.182,0.032,0.021,0.153,0.020,mod
8.730,13.647,12.630,18.167,13.861,0.015,0.005,0.005,0.055,0.009,mod
5.408,6.252,5.928,6.441,5.235,0.046,0.037,0.117,0.056,0.078,mod
5.464,7.395,6.045,7.364,8.233,0.145,0.079,0.023,0.114,0.166,mod
5.741,5.988,6.292,6.157,7.292,0.284,0.386,0.409,0.436,0.081,mod
8.549,5.526,5.870,7.172,8.829,0.003,0.104,0.096,0.085,0.049,mod
17.814,14.679,11.149,14.067,14.200,0.051,0.082,0.086,0.110,0.151,mod
7.610,6.475,8.359,7.710,6.218,0.016,0.136,0.091,0.063,0.218,mod
15.806,13.687,11.222,9.810,10.614,0.043,0.006,0.022,0.010,0.100,mod
7.614,5.795,6.482,6.412,7.043,0.027,0.167,0.154,0.091,0.151,mod
7.953,11.482,9.041,9.893,12.442,0.606,0.024,0.429,0.119,0.066,mod
11.550,7.635,10.630,11.090,6.254,0.013,0.156,0.021,0.060,0.053,mod
8.477,9.427,9.405,9.819,8.146,0.154,0.062,0.542,0.069,0.079,mod
9.336,7.643,6.131,6.397,6.211,0.034,0.411,0.282,0.194,0.345,mod
12.511,11.447,9.939,12.624,13.308,0.003,0.014,0.243,0.021,0.086,mod
12.574,9.782,8.795,7.227,7.253,0.027,0.167,0.114,0.230,0.066,mod
11.676,8.030,13.045,15.907,12.563,0.013,0.105,0.021,0.077,0.107,mod
7.129,7.419,5.915,7.402,6.653,0.285,0.071,0.264,0.110,0.488,mod
8.547,8.509,9.485,10.266,8.726,0.123,0.142,0.056,0.029,0.025,mod
9.641,9.543,12.014,14.955,10.276,0.029,0.301,0.056,0.045,0.049,mod
10.574,10.559,8.998,7.483,6.957,0.049,0.040,0.056,0.174,0.143,mod
5.042,5.671,6.226,8.031,9.818,0.052,0.086,0.180,0.132,0.106,mod
12.118,11.021,15.732,14.335,9.425,0.009,0.207,0.057,0.011,0.221,mod
10.945,9.147,12.436,8.721,12.769,0.824,0.495,0.017,0.054,0.020,mod
7.558,6.101,7.223,5.345,6.857,0.005,0.168,0.004,0.024,0.027,mod
5.967,5.235,4.922,5.178,5.644,0.211,0.134,0.055,0.159,0.058,mod
15.252,7.960,11.139,12.902,7.702,0.002,0.013,0.003,0.006,0.029,mod
7.915,10.303,11.358,11.557,12.258,0.264,0.029,0.005,0.028,0.158,mod
5.546,6.416,5.969,7.722,9.037,0.125,0.041,0.163,0.186,0.037,mod
8.544,10.924,11.969,8.470,8.095,0.100,0.054,0.038,0.055,0.129,mod
9.578,8.234,7.318,9.123,7.208,0.082,0.006,0.218,0.050,0.061,mod
8.711,12.001,16.804,10.605,9.927,0.047,0.031,0.013,0.023,0.059,mod
8.491,7.330,11.033,8.791,7.231,0.022,0.489,0.025,0.199,0.118,mod
5.866,5.895,6.098,6.746,8.256,0.219,0.071,0.346,0.098,0.087,mod
7.875,6.250,9.382,9.447,12.114,0.038,0.171,0.020,0.348,0.013,mod
8.360,9.076,5.668,8.960,8.917,0.044,0.018,0.067,0.165,0.158,mod
7.626,6.796,6.064,9.044,10.183,0.101,0.182,0.280,0.048,0.066,mod
7.933,6.442,5.967,5.235,4.922,0.059,0.053,0.211,0.134,0.055,mod
5.545,5.316,5.596,7.143,8.147,0.277,0.292,0.297,0.097,0.322,mod
9.850,8.903,7.017,8.097,8.717,0.043,0.018,0.175,0.156,0.161,mod
12.051,15.098,13.500,6.837,7.263,0.036,0.074,0.027,0.088,0.118,mod
7.879,10.440,6.213,7.259,8.619,0.078,0.050,0.271,0.454,0.534,mod
7.301,11.916,13.204,16.205,15.270,0.136,0.002,0.006,0.005,0.004,mod
8.250,6.333,6.143,6.467,8.375,0.000,0.000,0.000,0.000,0.000,mod
7.167,6.772,5.272,4.849,3.426,0.035,0.045,0.190,0.292,0.073,mod
